ext_gene,value
AdSS,1752
Ady43A,2004
Aef1,3088.734095
aft,2115
Afti,4898.596144
Ag5r,864.062043
Ag5r2,650
AGBE,2123
ago,5114.513171
AGO1,6801.775552
AGO2,3763.717232
AGO3,2590.968226
agt,1096
Ahcy13,1436.930354
Ahcy89E,1642.663996
AIF,2595.62138
AIMP1,837
AIMP2,873.8507534
AIMP3,540
Ak6,512
Akap200,2708.040555
Akh,337
AkhR,1896.886632
akirin,1884.124422
Akt1,3558.282901
al,1607
AlaRS,2964.082574
AlaRS-m,3034
Alas,1643
alc,888.694507
Ald,1607.513892
Aldh,1701.22139
Aldh-III,1786.052049
Alg-2,1091
Alg10,1330
Alh,4849.046224
alien,1369.070829
ALiX,2693
Alk,8685.095013
AlkB,934
Alp1,1586.000008
Alp2,1563
Alp4,1953.795135
alph,2438.585238
alpha-Cat,2805.925403
alpha-catenin-related,2808
alpha-Est1,1924
alpha-Est10,1951.141312
alpha-Est2,1803.406573
alpha-Est3,1565.860274
alpha-Est4,1550
alpha-Est4aPsi,1146
alpha-Est5,1666.394037
alpha-Est6,1637
alpha-Est7,1818
alpha-Est8,2447
alpha-Est9,3157.636088
alpha-Man-Ia,3720.781913
alpha-Man-Ib,3012
alpha-Man-Ic,1487
alpha-Man-IIa,3801.586575
alpha-Man-IIb,5158.345967
alpha-PheRS,1500
alpha-Spec,8017.727241
alpha4GT1,1515
alpha4GT2,1321
alphaCOP,3809.856977
alphaKap4,1310
alphaSnap,1871
alphaTry,661
alphaTub67C,1418
alphaTub84B,1553
alphaTub84D,1781
alphaTub85E,1361
Alr,979.5424833
alrm,1518
Als2,4864
alt,3479.397084
aly,1660.228816
Ama,1327.000013
amd,1561.346946
amn,3754
Amnionless,1523.846614
amon,3792
amos,587
AMPdeam,2574.886413
Amph,2785.640184
AMPKalpha,2543.357778
Amt,1574
Amun,3041.178635
amx,1060.953153
Amy-d,1407
Amy-p,1459.389575
Amyrel,1350
ana,2162.714676
ana1,5343.259719
ana2,1231.201607
ana3,6085
Ance,1823.954182
Ance-2,2023
Ance-3,2862.636131
Ance-4,1770.369073
Ance-5,1917
Andorra,748
angel,1031
Ank,4993.907708
Ank2,2999.346534
Ankle2,3572.324369
Anp,174
Ant2,1098.480139
antdh,751
Antp,4196.064205
antr,698.8951947
AnxB10,1046.536037
AnxB11,1602.068849
AnxB9,1100.304364
aop,4562.473696
aos,2623
Aos1,968
AOX1,4029
AOX2,3751
AOX3,3968.311166
AOX4,3633
ap,3110.768238
AP-1-2beta,3029
AP-1gamma,4566.863378
AP-1mu,1556
AP-1sigma,930.2151291
AP-2alpha,4060.335751
AP-2mu,1815.189436
AP-2sigma,552
Apc,8209.326228
APC10,668
Apc2,3794.312758
APC4,2413.851733
APC7,2039.370918
ApepP,1885.381842
Apf,356
aph-1,761.535093
aPKC,2803.679665
Aplip1,2192.750352
Apoltp,13131
app,3959.05134
APP-BP1,1486.405516
Appl,5985.403493
Aprt,659.245478
Aps,2335.649679
apt,2468.967264
AQP,1001.437883
aqrs,1037
ara,2719.001077
aralar1,2586.303984
Arc1,2172
Arc2,703
Arc42,1219
Archease,1023
aret,2761.642167
Arf102F,569.5365936
Arf51F,1195.109708
Arf79F,1243.073765
ArfGAP1,1885.179607
ArfGAP3,2268.898823
Arfip,1805
Arfrp1,902
arg,1044
Argk,1507.487817
ArgRS,1936
ArgRS-m,2170.943466
ari-1,3635.111242
ari-2,2809
Arl1,664
Arl2,457
Arl4,836.319888
Arl5,1140
Arl6,507.0029916
arm,2926.644307
armi,3763.25058
Arp1,1270
Arp10,1223.483045
Arp2,2097.138642
Arp3,1685.560426
Arp5,1908.912047
Arp53D,1179
Arp6,1148
Arp8,2090
Arpc1,1519.462024
Arpc2,1755.13074
Arpc3A,704.781182
Arpc3B,490.8608001
Arpc4,513
Arpc5,641.1530966
arr,5825
Arr1,1391.822746
Arr2,1348
Ars2,3053.413495
Art1,1329
Art2,1237
Art3,1547.211163
Art4,2656.997366
Art6,902
Art7,2031
Art8,1011
Art9,911
aru,2809.57089
arx,693
ARY,1166
Asap,4542.947437
Asator,5272.184178
Asciz,1294.216949
ase,2231
asf1,1010.883464
ash1,7402.933367
ash2,1291.25512
Ask1,4403.578218
asl,2988
AsnRS,1806.820943
AsnRS-m,1283
AsnS,1657
asp,6139
Asph,3118.25503
ASPP,4418.830229
AspRS,1803.871986
AspRS-m,3799.510688
asrij,737.5698902
ast,2546
AstA,1125.630977
AstA-R1,3456.000006
AstA-R2,1956.577998
AstC,1000.410812
AstC-R1,2713
AstC-R2,3113.794464
AstCC,953
asun,2298
Asx,6244.204317
Atac1,1031
Atac2,2228
Atac3,1938.334745
ATbp,2070
Ate1,1425.459704
Atet,3926.065595
Atf-2,1150
Atf3,6806.086843
Atf6,2892.521836
Atg1,3859.635669
Atg10,1114.355834
Atg101,1651
Atg12,270
Atg13,2804
Atg14,1667
Atg16,2025.384781
Atg17,6090.845903
Atg18a,1882.037838
Atg18b,2086.53014
Atg2,6062.245418
Atg3,1022
Atg4a,2116.408649
Atg4b,2466
Atg5,1219
Atg6,1294
Atg7,2075.430052
Atg8a,988.0243436
Atg8b,432.5
Atg9,2634
atilla,515.6047156
atk,4593
atl,2705.567333
atms,1605.391883
ato,1024
Atox1,704
ATP7,4812.425997
ATP8B,5791.965674
Atpalpha,3764.816772
ATPCL,3743.453259
ATPsynB,719
ATPsynbeta,1543.036075
ATPsynbetaL,1837
ATPsynC,841.1820859
ATPsynCF6,368.1154203
ATPsynCF6L,436
ATPsynD,535.1185786
ATPsyndelta,549.7727786
ATPsynE,371.6012306
ATPsynepsilonL,232.0145736
ATPsynF,360.4772524
ATPsynG,299.3969149
ATPsyngamma,968.7790547
ATPsynGL,348
ATPsynO,603
att-ORFA,1614.924195
att-ORFB,1128
AttA,591
AttB,631.0570285
AttC,701
AttD,543
Atu,2152
Atx-1,691
Atx2,4664.073746
Atxn7,3293.423863
aub,2625.716993
aurA,1378
aurB,984
aust,690
aux,4113.658111
ave,347
Aven,986.8610884
awd,414.134751
Awh,1864.391963
Axn,4263.884409
axo,7155.421076
Axs,2376
Axud1,3833.939736
az2,1807
azot,428
b,1866.39067
B-H1,2520.618822
B-H2,2903.000005
B4,5822.943664
B52,1934.213245
b6,1940
B9d1,682
B9d2,2451
bab1,5121.412628
bab2,4948.297257
babo,4569.233591
babos,947.354313
Bacc,919.6161605
Bace,1046.69183
baf,441.0041638
bai,608
Baldspot,2491.17318
ball,1776.295716
bam,1695
bap,1250
Bap111,2469
Bap170,5117
Bap55,1274
Bap60,1737
barc,2076.434266
bark,9893.415056
barr,2404.95858
baz,6636.334577
bbc,2202.248559
bbg,4050.858307
BBS1,1870
BBS4,1248.243664
BBS8,2060
bbx,3518.248647
bc10,1181
BCAS2,808
bcd,2161.988218
bchs,11956
BCL7-like,1465
bcn92,549
Bdbt,801
bdg,4224.464224
bdl,2531
be,3265.810353
BEAF-32,1019.688175
beag,1683
beat-Ia,2642.871778
beat-Ib,2404.176938
beat-Ic,3944.479891
beat-IIa,2643.463696
beat-IIb,1983.257881
beat-IIIa,3207.032844
beat-IIIb,3050
beat-IIIc,3324.908949
beat-IV,2843.324943
beat-Va,2668.324777
beat-Vb,1449.179814
beat-Vc,2030
beat-VI,2450.275565
beat-VII,5939
beg,999
bel,3574.515162
Bem46,1511
ben,1067.242279
Best1,2817.561111
Best2,3348
Best3,1495
Best4,1463
Bet1,522.4919659
Bet3,926
Bet5,852
beta'COP,2867
beta-Man,2822.1994
beta-PheRS,1761
beta-Spec,7477.553288
beta3GalTII,1232
beta4GalNAcTA,1668
beta4GalNAcTB,1150
beta4GalT7,900
betaCOP,3004
betaggt-I,1570.829618
betaggt-II,1234
betaGlu,2132
betaNACtes1,885
betaNACtes2,708
betaNACtes3,768
betaNACtes4,813
betaNACtes5,411
betaNACtes6,768
betaTry,661.9406802
betaTub56D,1397.346511
betaTub60D,2317.941797
betaTub85D,1642
betaTub97EF,1502
BG642163,1320
BG642167,185
BG642312,320.5156169
Bgb,1043
bgcn,3945.191506
bgm,2301.883836
BHD,1358
bi,4819.745873
BI-1,911.2394516
bib,3077
bic,947.8266415
BicC,3691.626889
BicD,4010.469502
bif,4923.600994
BigH1,1080
bigmax,755
Bili,3576.418651
bin,2213
Bin1,570.8398831
bin3,5275.290473
bip1,1469.421398
bip2,4315
Bka,559
blanks,1069
Blimp-1,6297.968349
Blm,4607
Blos1,476
Blos2,446
Blos3,365
Blos4,568.8556313
blot,3221.643957
blow,2395.359039
blp,757.9668711
blw,2053
Bmcp,1473.315408
bmm,2119.890189
bnb,2083.317288
bnk,829
bnl,4064.13147
BobA,428
boca,505
bocks,1314.103033
boi,3477.651777
bol,2220.632747
boly,940
bon,5586.590828
bond,1390.605886
bonsai,782
bor,2232.099832
bora,1803
borr,1095.212344
boss,2814
botv,3409
bou,504
bowl,3259.66085
BoYb,3360
br,5981.637117
Br140,5211.778854
brat,5123.847876
Brca2,3092
Brd,333
Brd8,2593
Bre1,3557.857053
Brf,2474.219659
brk,2995
brm,5154.413811
Brms1,1124
brn,1251
Bro,545
brp,8825.983744
bru,4693
bru-2,2671.288543
bru-3,5251.39615
Bruce,15149.25754
brv1,2474
brv2,2135
brv3,2145.881475
BRWD3,7045
bs,2162.138084
bsf,4258
Bsg,2643.029991
Bsg25A,1153
Bsg25D,4159.758159
bsh,1457.689076
bsk,1345.103642
bt,26471.99092
BTBD9,2836.299875
BtbVII,4075.144979
btd,2735
BthD,778
Btk29A,3248.288328
btl,3679.566085
btn,278
Btnd,1708
btsz,5659.491615
btv,12622
btz,2765.895003
Bub1,3880.744
Bub3,1120.783521
BubR1,4427
Buffy,839
Bug22,744
BuGZ,2485.237569
bun,2931.59732
bur,2868.756449
Burs,441
bves,3526.194515
bw,2433.214149
bwa,1733.768737
Bx,2548.89002
Bx42,1876.747478
by,2841.388962
byn,2419.000013
bys,1319
c-cup,683
c(2)M,2063
c(3)G,2408.21347
c11.1,5873.019437
c12.1,1047
c12.2,4194.733442
C15,1657
C1GalTA,1840.394514
C3G,5937.626837
C901,1725
ca,6673.851133
Ca-alpha1D,8180.457158
Ca-alpha1T,12606.04985
Ca-beta,5237.509768
CaBP1,1549.794999
cac,10048.47868
cact,1858.60825
cactin,2135
cad,2224.554573
Cad74A,6340.105276
Cad86C,6660.954213
Cad87A,7056
Cad88C,6546
Cad89D,6719
Cad96Ca,2740
Cad96Cb,2792.08824
Cad99C,5529.840158
CadN,11860.87303
CadN2,7141.501881
Cadps,5091.023984
Caf1-105,2282
Caf1-180,3844
Caf1-55,1628.815239
cag,850.9842348
CAH1,1257
CAH2,1625.456925
CAHbeta,894.8119816
caix,931
cal1,3403
CalpA,2528.253013
CalpB,3908.451265
CalpC,2488
Calr,1264.663356
Cals,3531.707889
Calx,4792.901089
calypso,1938.768982
Cam,1433.657463
CaMKI,2102.132189
CaMKII,2157.319361
Camta,7206.603792
can,2754
cana,5478.287828
CanA-14F,3865.96408
CanA1,2609.318965
CanB,965.5
CanB2,1160.541018
Cand1,3899.761794
CAP,2766.033231
Cap-D2,4102
Cap-D3,3824.907348
Cap-G,4187.97891
Cap-H2,3780.242708
Capa,496
CapaR,1623.28462
Caper,2485.029512
Capr,3742.190309
caps,4623.388694
capt,1850.535242
capu,2999.954191
car,2934.508734
CarT,2194.443896
cas,2722.849369
Cas,3038
CASK,3832.454515
casp,2354.803187
Cat,1794
cathD,1197
cato,513
Catsup,1499
caup,4118
cav,1212.723432
caz,1462.87925
cbc,1455
Cbl,2865.965623
CBP,1986.123763
Cbp20,401
Cbp53E,2190.257
Cbp80,2881.26128
cbs,2057.048821
Cbs,1630.468051
cbt,1948.674649
Cby,373.5310708
CCAP,563.6899824
CCAP-R,2787
CCDC151,1646
CCDC53,456
Ccdc56,1330
CCHa1,658
CCHa1-R,2443
CCHa2,1081.588715
CCHa2-R,2167.49252
Cchl,1017.868708
CCKLR-17D1,2993
CCKLR-17D3,2031
Ccm3,1390
Ccn,2579
Ccp84Aa,566
Ccp84Ab,635
Ccp84Ac,861
Ccp84Ad,536
Ccp84Ae,555
Ccp84Af,381
Ccp84Ag,898
Ccs,714.9649447
Cct1,2338.82739
Cct2,1498
Cct5,1737.874349
Cctgamma,1842.902608
CCY,3803
Ccz1,1332
cd,2420
CD98hc,1933.169649
Cda4,1735
Cda5,4561.022778
Cda9,1248.285272
CDase,2348.899692
cdc14,3634.710903
Cdc16,2416
Cdc23,2028.065411
Cdc27,3493.886465
Cdc2rk,1052
Cdc37,1412
Cdc42,1727.271212
CDC45L,2015
Cdc5,3039.875386
Cdc6,2284
Cdc7,2869.882298
Cdep,4947.532388
CdGAPr,6527.137891
cdi,5580.338147
cDIP,1656
Cdk1,883
Cdk12,4430.928162
Cdk2,1013.589055
CDK2AP1,1632
Cdk4,1418.627332
Cdk5,1405
Cdk5alpha,1813.27917
Cdk7,1249
Cdk8,1330
Cdk9,1277
Cdlc2,456.6666667
cdm,3106.866914
CdsA,2203.70559
Cec-Psi1,8.78198
Cec2,17.0167
CecA1,140
CecA2,156
CecB,226
CecC,187
Ced-12,2387
ced-6,2296.798399
Cen,2586.529058
CenB1A,3106.732828
CenG1A,3801.634116
Cenp-C,4337.388116
Cep135,3264.824934
cep290,5900
Cep89,1284
Cep97,2403.830084
cer,298
Cerk,2561.581822
cert,2312.190524
cerv,851.6088221
Cf2,3665.5111
Cfp1,2160.776184
cg,3930.753298
CG10000,2398
CG10005,802.5601247
CG10011,8483
CG10013,1491
CG10014,1249
CG10019,5673.317891
CG10026,995.5726516
CG10029,1181
CG10031,378
CG10035,897.3970792
CG10038,961.68774
CG10041,753
CG10050,1695
CG10051,2569
CG10053,698.4899434
CG10055,2223
CG10062,2729.64621
CG10063,628
CG10064,2180
CG10068,1458
CG10073,2548.563818
CG10075,725
CG10077,3281.29636
CG10081,2536
CG10082,3620.79382
CG10086,1665
CG10089,2085.294887
CG10096,3998.955449
CG10097,1613.351254
CG10098,1333
CG10103,1343.904478
CG10104,1315
CG10116,719
CG10126,704.4636867
CG10131,859
CG10132,4422.696676
CG10133,898
CG10137,3028
CG10139,669.3625591
CG10140,770
CG10144,3686
CG10147,1947.700231
CG10151,2057.133983
CG10154,848.5235688
CG10163,1021
CG10164,1968
CG10165,784.0383326
CG10166,611
CG10168,1657
CG10170,1565
CG10171,1529.589624
CG10175,2328.468221
CG10177,1239
CG10178,1726.697488
CG10182,2013
CG10183,1859
CG10184,1131
CG10185,5180
CG10188,5050.440203
CG10189,1127.378934
CG10194,1016
CG10195,1325.777938
CG10202,1860
CG10205,663.7316441
CG10208,865
CG10209,1825
CG10211,4965.124565
CG10214,771
CG10217,2036.619958
CG10222,923.5368038
CG10226,4169.699446
CG10232,1665
CG10237,1251.819979
CG1024,2044.251781
CG10252,634
CG10254,4692.075719
CG10257,1178
CG10262,835
CG10264,848
CG10265,1072.215051
CG10268,957
CG10274,2835
CG10280,872
CG10283,2793.029153
CG10286,1952
CG10289,5594.295597
CG10298,546
CG10300,1285
CG10301,801
CG10306,654
CG10307,1119.003111
CG10311,840.1563232
CG10317,993.7180872
CG10321,3123
CG10324,1612
CG10326,1012.957479
CG10332,540
CG10333,2457
CG10336,1033.858494
CG10337,1098
CG10338,2175.510917
CG10339,1764
CG10340,739
CG10341,1673.954482
CG10343,644
CG10344,984.0717205
CG10345,2224
CG10347,1785.726221
CG10348,3296.256473
CG10352,1292
CG10353,4084.513967
CG10357,912
CG10359,1499.682315
CG10361,1232
CG10362,3577
CG10365,1326.31767
CG10366,1863
CG10375,785.3469491
CG10376,2301
CG10383,2704.552203
CG10384,3272.729598
CG10395,1017.463705
CG10399,948.5481399
CG10405,730
CG10407,817.6853659
CG10413,3596.163868
CG10417,2235.331044
CG10418,238
CG10420,1632
CG10424,1034
CG10425,1203
CG10426,2899.524031
CG10428,1722
CG10431,3100.152868
CG10433,865.0513137
CG10435,1623
CG10444,2591
CG10445,3092.665621
CG10459,988
CG10462,2932.738022
CG10463,1722
CG10465,1042
CG10466,371.9117191
CG10467,1345
CG10469,868
CG10470,502
CG10472,737
CG10474,1074
CG10476,470
CG10477,875.2813607
CG10479,1476.126763
CG10481,1809
CG10483,2039
CG10486,2089
CG10492,4285.496666
CG10494,1784.34105
CG10495,1172
CG10505,4227
CG10508,1876.285467
CG10510,1533
CG10512,1619.533633
CG10513,1159
CG10514,1159
CG10516,1130
CG10527,961
CG10543,6816.93997
CG10550,1297.120808
CG10553,1243
CG10555,4717.363278
CG10559,1236
CG10560,1168
CG10561,1853
CG10562,1328
CG10565,2069.558446
CG10570,673.6814007
CG10576,1539.395477
CG10581,388
CG10584,882
CG10585,1690.023107
CG10587,710.3333333
CG10588,3283
CG10589,1166
CG10591,876
CG10592,1550
CG10597,509
CG10598,1021
CG10600,5006.868291
CG10602,1958.208554
CG10616,1612.003603
CG10621,1124.399871
CG10623,1355.365484
CG10625,2909.546632
CG10628,1055
CG10631,11934
CG10635,344
CG10638,939.8723334
CG10639,1566.832363
CG10646,1178
CG10650,1362.481332
CG10651,837
CG10654,1407.149255
CG10657,1325
CG10659,638
CG10660,1928.119006
CG10663,2915.56171
CG10669,2948.075416
CG10671,1650.587926
CG10672,883
CG10674,279
CG10680,924.9130722
CG10681,824.5378838
CG10688,725
CG10694,769
CG10700,1554
CG10702,3820.459281
CG10710,2438
CG10713,2335
CG10721,1344.554474
CG10725,677
CG10730,1801
CG10731,671.7806505
CG10734,1250
CG10737,3141.039803
CG10738,4880.985885
CG1074,1488
CG10747,1342.137211
CG10748,947
CG10749,978
CG10750,976
CG10752,1575
CG10754,793
CG10761,1054
CG10764,1501
CG1077,2103
CG10778,1133.196304
CG10793,1460
CG10795,901
CG10799,393
CG10801,1466
CG10802,1270.40293
CG10803,3600.844626
CG10804,3996.367378
CG10809,1823.359004
CG10814,1259
CG10822,355
CG10827,1475
CG10834,244
CG10839,806
CG10841,2204.529427
CG10845,1734
CG10853,389
CG10859,1790
CG10862,1002
CG10863,890
CG10864,1353
CG10866,1203.55758
CG10869,2028
CG10874,1383.932886
CG10877,1383
CG10880,1085.492642
CG10887,1989
CG10889,1977
CG10898,1770
CG10899,762.0000016
CG1090,3020.484802
CG10903,932.4396722
CG10904,798.648112
CG10907,1411
CG10909,974
CG10910,1792
CG10911,1022
CG10912,711
CG10914,1855
CG10915,3143.981023
CG10916,952.6765172
CG10918,444
CG10919,576
CG1092,1143.167141
CG10920,1565
CG10924,2501.464517
CG10927,967
CG10931,1003
CG10932,1365.950528
CG10933,1203
CG10934,844
CG10936,5178
CG10939,1518
CG10943,951
CG10947,2374.685288
CG10948,2645.300865
CG10949,1368.560892
CG10950,1705
CG10953,1032.5
CG10958,2484
CG10959,1635.76281
CG10960,2413.803314
CG10962,875
CG10969,2149
CG10970,1198.546684
CG10973,833
CG10979,4075.703216
CG10984,2070.319154
CG10993,516
CG10996,1051
CG11000,5471.419764
CG11007,1059.675329
CG11018,1051
CG11023,1611.385554
CG11029,1606
CG1103,1136.98115
CG11030,1617.217596
CG11034,2284.631971
CG11035,888.4247231
CG11037,714
CG1104,2332.403438
CG11041,338
CG11044,1842
CG1105,1597
CG11050,1785.812807
CG11052,435.1312613
CG11060,2113
CG11068,1071
CG11069,1839
CG11070,3192
CG11073,2438.69217
CG11076,1063.892491
CG11077,488
CG11085,1345
CG11089,2033.512449
CG1109,2598.83156
CG11095,922
CG11099,1979.426978
CG11103,724
CG11106,336
CG11109,1220.83862
CG11110,553
CG11112,477
CG11113,254
CG11122,12005
CG11123,1923
CG11125,1684.518893
CG11127,1285
CG1113,1633.694165
CG11131,989.2845553
CG11134,703.4707057
CG11137,483.2036628
CG11138,3838.857166
CG11141,2502.978412
CG11145,375
CG11147,2720.171036
CG11149,1721.538812
CG11151,547.9533747
CG11155,3015.637572
CG11158,1409
CG11159,457
CG1116,1415.237996
CG11162,720
CG11164,1023.383632
CG11168,2815.869157
CG11170,974.4703989
CG11178,2891.770021
CG11180,2218.601076
CG11190,2322
CG11191,1144.882786
CG11192,761
CG11200,1254.648399
CG11208,1785
CG11210,2664
CG11211,394
CG11221,2452.249164
CG11226,904
CG11227,2257.658763
CG11236,981.9822097
CG1124,917
CG11241,1758.147377
CG11247,2468.566017
CG11248,2764.001573
CG11249,1911
CG11251,1190
CG11257,1519
CG1126,1029
CG11261,2016
CG11262,2085
CG11263,838.1679243
CG11267,395
CG11269,202
CG11275,1465
CG11279,416.0280209
CG11284,1735.359685
CG11286,609.5
CG11289,1314
CG1129,1469.82145
CG11291,1081
CG11294,869
CG11298,370
CG11300,382
CG11306,1430.572813
CG11307,1178.713789
CG11309,1165.385989
CG11313,1014.000262
CG11317,1596.7617
CG11318,2565
CG11319,7172.310291
CG11321,5974.380919
CG11322,1566
CG11327,1609
CG11333,516
CG11334,1298.76432
CG11340,2062.530598
CG11342,766
CG11345,724
CG11349,1771
CG11350,1298
CG11353,2763.500495
CG11356,578
CG11357,2756.556538
CG1136,2505
CG11360,5742.669369
CG11362,566
CG11367,1597
CG11368,162
CG11369,2279
CG1137,1164
CG11370,1110.250004
CG11373,160
CG11374,1179
CG11377,1351.058967
CG11378,1070.83787
CG11379,584
CG1138,1199
CG11380,2505
CG11381,1404
CG11382,1573.134929
CG11384,1960
CG11388,1440
CG1139,1379
CG11391,1601
CG11395,1429.520717
CG11396,1402
CG11398,1357.251646
CG11399,4055
CG11400,648.4735467
CG11403,2691
CG11404,602.5
CG11406,1785.352556
CG11407,1590
CG11409,4203.527325
CG11412,2133.369839
CG11413,403
CG11414,2940
CG11417,2261
CG11418,1902.608825
CG1142,712
CG11425,799
CG11426,1683
CG1143,921.4696622
CG11436,1797
CG11437,793
CG11438,1127.751976
CG11444,916.1400958
CG11447,792
CG11448,3570.187799
CG11449,1418
CG11453,1632
CG11454,706
CG11456,1432.846121
CG11458,338
CG11459,972.3757928
CG1146,1674.524973
CG11470,528
CG11474,1417.413552
CG11475,1363
CG11486,3399.595333
CG11498,2307
CG11504,1609.319787
CG11505,9264.064672
CG11523,675
CG11529,1041
CG11534,1438
CG11537,2719.159597
CG11539,564.4912668
CG11550,861
CG11555,642.1718163
CG11560,903.6745285
CG11562,549
CG11563,632
CG11566,3599
CG11570,710
CG11576,1959
CG11577,1129
CG11581,1116
CG11583,1054
CG11584,1998
CG11585,966
CG11586,818.3127357
CG11588,832
CG11590,531
CG11593,2411.750394
CG11594,1752.338208
CG11596,1530.318818
CG11597,1481.877523
CG11598,1049
CG11600,1131
CG11601,1012.061962
CG11608,1180
CG1161,774.8656618
CG11617,1083.249826
CG11619,2220
CG11626,1616
CG11629,1425
CG11630,1821
CG11634,1339.5
CG11635,736
CG11638,2263
CG11652,1537.691446
CG11655,1521
CG11656,914
CG11658,2311.345031
CG11659,1506
CG11663,440.5
CG11664,682
CG11665,2457.053982
CG11666,362
CG11668,1150
CG11670,1138
CG11671,482
CG11672,819.0558909
CG11674,973
CG11679,1263
CG11686,252.3326007
CG11693,1332.804407
CG11694,736
CG11695,1550.215859
CG11696,2036
CG11697,708
CG11698,711
CG11699,514.5232332
CG11700,1163
CG11703,1079
CG11710,1671.443434
CG11714,3314
CG1172,1977.112458
CG11722,571
CG11723,1537.556638
CG11726,785
CG11737,1864.992016
CG11739,1151.578175
CG11741,200.3408407
CG11752,278
CG11753,516.7254779
CG11755,615.1006157
CG11756,547
CG11760,1709
CG11768,7174.773322
CG11771,2654
CG11777,502
CG11779,2288.44728
CG11781,290
CG11786,569
CG11788,1230
CG11790,812.4592744
CG11791,1391.320861
CG11796,1126.552825
CG11802,1282
CG11807,1762.09861
CG11808,602
CG11811,1376
CG11815,811
CG11816,1121
CG11825,466.7164038
CG11828,1357
CG11835,2550.920612
CG11836,1024.403871
CG11837,904
CG11839,637
CG11841,877
CG11842,919
CG11843,887.3644752
CG11851,2164
CG11852,846
CG11854,840
CG11857,1602
CG11858,294
CG11865,650
CG11873,11749.14253
CG11876,1156.832307
CG11878,1146
CG11880,2990.266189
CG11882,858.4805985
CG11883,3269.749679
CG11885,357
CG11889,1370.472357
CG11892,1337.153891
CG11893,1216
CG11897,4713.712764
CG11898,4273
CG11899,977
CG11902,4402
CG11905,1343.662007
